vuln_id,cve_id,software_name,affected_version,fixed_version,cvss_base,epss_percentile,known_exploited,patch_available,published_date,patch_sla_days
VULN-SAMPLE-0001,CVE-SAMPLE-2026-0001,Edge,2.x,3.0.0,4.9,0.29,False,True,2026-04-12,14
VULN-SAMPLE-0002,CVE-SAMPLE-2026-0002,Firefox,3.x,4.0.0,5.8,0.38,False,True,2026-05-02,30
VULN-SAMPLE-0003,CVE-SAMPLE-2026-0003,7-Zip,4.x,5.0.0,6.7,0.47,False,True,2026-05-22,7
VULN-SAMPLE-0004,CVE-SAMPLE-2026-0004,Zoom,5.x,6.0.0,7.6,0.56,False,True,2026-03-01,14
VULN-SAMPLE-0005,CVE-SAMPLE-2026-0005,Teams,1.x,2.0.0,8.5,0.65,True,True,2026-04-12,30
VULN-SAMPLE-0006,CVE-SAMPLE-2026-0006,Dell Command Update,2.x,3.0.0,4.0,0.74,False,False,2026-05-02,7
VULN-SAMPLE-0007,CVE-SAMPLE-2026-0007,Visual Studio Code,3.x,4.0.0,4.9,0.83,False,True,2026-05-22,14
VULN-SAMPLE-0008,CVE-SAMPLE-2026-0008,Python,4.x,5.0.0,5.8,0.2,False,True,2026-03-01,30
VULN-SAMPLE-0009,CVE-SAMPLE-2026-0009,Git,5.x,6.0.0,6.7,0.29,True,True,2026-04-12,7
VULN-SAMPLE-0010,CVE-SAMPLE-2026-0010,Chrome,1.x,2.0.0,7.6,0.38,False,True,2026-05-02,14
VULN-SAMPLE-0011,CVE-SAMPLE-2026-0011,Edge,2.x,3.0.0,8.5,0.47,False,True,2026-05-22,30
VULN-SAMPLE-0012,CVE-SAMPLE-2026-0012,Firefox,3.x,4.0.0,4.0,0.56,False,True,2026-03-01,7
VULN-SAMPLE-0013,CVE-SAMPLE-2026-0013,7-Zip,4.x,5.0.0,4.9,0.65,False,True,2026-04-12,14
VULN-SAMPLE-0014,CVE-SAMPLE-2026-0014,Zoom,5.x,6.0.0,5.8,0.74,True,True,2026-05-02,30
VULN-SAMPLE-0015,CVE-SAMPLE-2026-0015,Teams,1.x,2.0.0,6.7,0.83,False,True,2026-05-22,7
VULN-SAMPLE-0016,CVE-SAMPLE-2026-0016,Dell Command Update,2.x,3.0.0,7.6,0.2,False,True,2026-03-01,14
VULN-SAMPLE-0017,CVE-SAMPLE-2026-0017,Visual Studio Code,3.x,4.0.0,8.5,0.29,False,True,2026-04-12,30
VULN-SAMPLE-0018,CVE-SAMPLE-2026-0018,Python,4.x,5.0.0,4.0,0.38,False,False,2026-05-02,7
VULN-SAMPLE-0019,CVE-SAMPLE-2026-0019,Git,5.x,6.0.0,4.9,0.47,False,True,2026-05-22,14
VULN-SAMPLE-0020,CVE-SAMPLE-2026-0020,Chrome,1.x,2.0.0,5.8,0.56,False,True,2026-03-01,30
VULN-SAMPLE-0021,CVE-SAMPLE-2026-0021,Edge,2.x,3.0.0,6.7,0.65,True,True,2026-04-12,7
VULN-SAMPLE-0022,CVE-SAMPLE-2026-0022,Firefox,3.x,4.0.0,7.6,0.74,False,True,2026-05-02,14
VULN-SAMPLE-0023,CVE-SAMPLE-2026-0023,7-Zip,4.x,5.0.0,8.5,0.83,False,True,2026-05-22,30
VULN-SAMPLE-0024,CVE-SAMPLE-2026-0024,Zoom,5.x,6.0.0,4.0,0.2,False,True,2026-03-01,7
VULN-SAMPLE-0025,CVE-SAMPLE-2026-0025,Teams,1.x,2.0.0,4.9,0.29,False,True,2026-04-12,14
